,ground_truth,pred_persona_conc_notoken
0,What terrible things? Who's plotting them?,You mean... I can't just go back to Hogwarts and be safe?
1,Really.,Yeah.
2,Ravenclaw Common Room. Got to start somewhere.,I don't know.
3,Brilliant.,Yes.
4,N-nothing. I'm fine.,It’s... a stag.
5,Yes. Why?,Yes.
6,How’d you...?,Hi.
7,NO!!!,Hey!
8,"You never did, did you? It was all just a trick.",I don't think we do.
9,"Professor, why am I so important to him?",You can destroy me. You can destroy your own life.
10,Not that I know of.,"No, Ministerial Dictatorship."
11,Oh. Thanks.,"Thanks, Hermione."
12,Yes.,Yes.
13,You're a fraud! You've just been taking credit for what a load of other wizards have done!,I'm not a book thief!
14,Shhh!,I don't know...
15,"Why, though?",You're going to have to let me go.
16,"Blimey, Hermione!",Hermione!
17,"Who, Kreacher? Who was it?",And what were they?
18,Krum.,His name is Luna.
19,The Misuse of Muggle Artefacts...?,"Oh, right."
20,No. He didn't.,Ron?
21,We got lost.,I don't think so.
22,"I see. Not to be rude or anything, but this isn't a great time for me to have a house-elf in my bedroom.","You mean the elf who lived in the house of his Aunt Petunia, right?"
23,That's a lie.,"But he was working, wasn't he?"
24,Um... I don’t know?,It’ll be here soon.
25,I don’t understand -- what happened?,You’re not!
26,"Well, you haven't finished it this time. In a few hours Mandrake Draught will be ready and everyone who was petrified will be all right again.",I'm sorry.
27,I’ll know. I can’t explain. It’s like... they sing to me.,It's a gateway.
28,Expulso!,No!
29,"I'm not, believe me…",But I'm not.
30,Ow!,"I'm not alone, Hagrid. I'm not."
31,I can't. Hogwarts is my home.,I'm going back.
32,"Yes, well, we don’t exactly see eye-to-eye, sir. What I mean to say is, he’s not like you. He might... misunderstand.",I‘m not asking about the potion itself. I want to know if it’s safe.
33,"You do believe me, don't you?",I did. I saw the dragons.
34,And you knew this? That’s why you were certain I wouldn’t die?,I'm sorry.
35,"I just thought, you know, since neither one of us can take who we’d really like... maybe we’d go together. As friends.",Because I'm hungry.
36,Here.,The Ministry.
37,Dumbledore asked me to... get to know him.,Dunno.
38,"But it can't hurt if someone throws something at you. I mean, it'd just go right through you, wouldn't it?",What’s he thinking?
39,I'm fine.,It's not hurting.
40,Bye.,I'll be there in a minute.
41,You're doomed.,"You're not going to die, Harry! You're going to live forever!"
42,What if he chose wrong?,"Voldemort, you mean?"
43,What'd she say?,But why?
44,"A dead one, I think, sir.",Yes.
45,"That's a brilliant theory, Hermione. With just one tiny little flaw. There's nothing written in this diary.","I don't know, sir."
46,Excuse me?,I'm not sure.
47,"Well, I just thought--",But I want to be the one who defeats him.
48,The Leaky Cauldron. That's in London --,I don’t know.
49,Ron?,Yes.
50,Don't worry. I think I've got an idea...,I won't.
51,"Divine. Had ourselves a little late-night snack, did we?",It‘s the best.
52,Yeah. But she called me a liar!,No.
53,Does it hurt? Dying?,We’ll never leave.
54,"No, sir.","No, sir."
55,I don' t think so Just knocked out.,No!
56,Yeah.,"No, sir."
57,"I didn’t say I wasn’t curious. And, by the way, I don’t sleep with it.",What?
58,I don’t know. She’s smart. Funny. Attractive...,I’m not sure.
