,ground_truth,pred_persona_conc_notoken_3
0,What terrible things? Who's plotting them?,I don’t think so.
1,Really.,Yeah.
2,Ravenclaw Common Room. Got to start somewhere.,I don't know.
3,Brilliant.,Yeah.
4,N-nothing. I'm fine.,It's a bird.
5,Yes. Why?,Positive. I'm the youngest Quidditch player in 100 years.
6,How’d you...?,"Hello, sir."
7,NO!!!,"!!!,!!?!!.!!...!!..!!:!!’!!'!!You’ve been found!! You have been found in the Chamber of Secrets!! i won the Triwizard i am the hero who defeated Voldemort. I'm the youngest Quidditch player in 100 years."
8,"You never did, did you? It was all just a trick.",I’m sorry.
9,"Professor, why am I so important to him?","I'm sorry, sir. I'm afraid I don't understand."
10,Not that I know of.,’No. I’m not that kind of Minister.
11,Oh. Thanks.,But I'm not wearing glasses.
12,Yes.,"No, sir. I'm... I'm the youngest Quidditch player in 100 years."
13,You're a fraud! You've just been taking credit for what a load of other wizards have done!,I don't know. I've never been much of a book reader.
14,Shhh!,"!!!,!!?!!.!!...!!..!!:!!’!!'!!You!!you!! you!!-!!…!!I!!
!!"
15,"Why, though?",But I want to be there.
16,"Blimey, Hermione!",... and then what?
17,"Who, Kreacher? Who was it?",What was he doing?
18,Krum.,"’’s Neville Longbottom. I'm the youngest Quidditch player in 100 years. i won the Triwizard i lived in the house of my Aunt Petunia, my mother's older sister, under persecution."
19,The Misuse of Muggle Artefacts...?,But I'm the youngest Quidditch player in 100 years.
20,No. He didn't.,I’m Ron. I’ve been in love with Hermione for months.
21,We got lost.,I don't know. I've been thinking about it for a while.
22,"I see. Not to be rude or anything, but this isn't a great time for me to have a house-elf in my bedroom.","I'm not your Dobby, mate."
23,That's a lie.,What's that supposed to mean?
24,Um... I don’t know?,I’m sorry. I don’t know what I’re doing. I‘m just trying to help.
25,I don’t understand -- what happened?,"I’m not, Professor."
26,"Well, you haven't finished it this time. In a few hours Mandrake Draught will be ready and everyone who was petrified will be all right again.",And that would be...?
27,I’ll know. I can’t explain. It’s like... they sing to me.,We’ll find out.
28,Expulso!,"!!!,!!?!!.!!...!!..!!:!!"
29,"I'm not, believe me…",I'm not afraid of Muggle's. I'm afraid of Dementors.
30,Ow!,I won't be going. I'm going to be alone.
31,I can't. Hogwarts is my home.,He’s not going to be back for a while.
32,"Yes, well, we don’t exactly see eye-to-eye, sir. What I mean to say is, he’s not like you. He might... misunderstand.","!!!,!!?!!.!!...!!..!!:!!'!!’!!You’ve won!! You’re the best!! i won the Triwizard i wearing glasses. my parents died in Voldemort's attack."
33,"You do believe me, don't you?",But I saw you two.
34,And you knew this? That’s why you were certain I wouldn’t die?,... I’m sorry.
35,"I just thought, you know, since neither one of us can take who we’d really like... maybe we’d go together. As friends.",I’m hungry.
36,Here.,In the Ministry.
37,Dumbledore asked me to... get to know him.,The game of thrones.
38,"But it can't hurt if someone throws something at you. I mean, it'd just go right through you, wouldn't it?",What’s in it?
39,I'm fine.,"It was hurting all week, Harry. It was always hurting."
40,Bye.,"!!!...!!,!!?!!.!!..!!:!!’!!"
41,You're doomed.,"!!!,!!?!!.!!...!!..!!:!!’!!…!!You’re going to die!! You’ve got to die."
42,What if he chose wrong?,"I'm not sure. I think I'll go with you, sir."
43,What'd she say?,"But he’s not here to talk to me, is he?"
44,"A dead one, I think, sir.",Yes. It's the one that was attacked by the Goblet of Fire.
45,"That's a brilliant theory, Hermione. With just one tiny little flaw. There's nothing written in this diary.",No. I'm not the kind of person who would keep a diary of his own.
46,Excuse me?,I mean... I'm sure he's thinking about it.
47,"Well, I just thought--",... i wearing glasses. my parents died in Voldemort's attack. i'm attending Hogwarts
48,The Leaky Cauldron. That's in London --,I'm in Gryffindor.
49,Ron?,"!!!,!!?!!...!!.!!..!!:!!'!!’!!You’re not allowed to speak to me!! i wearing glasses. my parents died in Voldemort's attack. i'm attending Hogwarts"
50,Don't worry. I think I've got an idea...,I’m sorry. I didn’t mean to hurt her. I’ll just leave her alone.
51,"Divine. Had ourselves a little late-night snack, did we?",It‘s beautiful...
52,Yeah. But she called me a liar!,"I’m sorry, sir. But I’ve been drinking. I‘m not very good at this."
53,Does it hurt? Dying?,I'm sorry.
54,"No, sir.",No. I’m not old.
55,I don' t think so Just knocked out.,"No, it’s just sleeping."
56,Yeah.,Yes. But I've been practicing more and more.
57,"I didn’t say I wasn’t curious. And, by the way, I don’t sleep with it.","I don't know who that is, Harry."
58,I don’t know. She’s smart. Funny. Attractive...,She's wearing glasses.
59,But Dumbledore can make mistakes. He’s said it himself--,And I trust you.
60,What's my name doing here?,And my name on the back of it. And my pet's name on my arm.
61,Wedding?,But if I’m not careful...
62,"Absolutely not. Besides, I’m just a waste of space. Isn’t that right, Vernon?","I’m not your boy, Harry."
63,Voldemort...?,... my parents died in Voldemort's attack. I'm the youngest Quidditch player in 100 years.
64,His Memory Charm backfired. Hasn't got a clue who he is. I keep having to stop him wandering off. He's a danger to himself.,He's in the castle.
65,I'm sure. Nothing.,I’m sure. i wearing glasses. my parents died in Voldemort's attack. i'm attending Hogwarts
66,C'mon.,I'm not afraid of Dementors. I'm afraid of the Dementor's Dementium.
67,Okay. Thanks.,"I’m not wearing glasses. my parents died in Voldemort's attack. i had the green eyes of my mother, Lily."
68,"Thanks, Neville, but--","I’m not sure I’d be able to handle it, sir."
69,"I don't understand, Professor.",It's no problem.
70,I know it sounds mad--,I think he’s trying to destroy him.
71,A message...?,I understand.
72,Sir. While I was....,I don't care about your answer. I'm going to kill you now.
73,Trust me. I know what I’m doing. Or at least Felix does.,"!!!?!!,!!...!!.!!:!!..!!'!!’!!You're killin' me, Harry!! You're kill'in' him!! i wearing glasses. my parents died in Voldemort's attack. i'm attending Hogwarts"
74,Excellent. Really excellent.,I’m sorry. I didn’t mean to hurt you. But I’ve got to go. I can’T stay here forever. i can speak parseltongue i wearing glasses. my parents died in Voldemort's attack.
75,Yeah. Have you ever… you know…,But he was my Godfather...
76,Excuse me?,I think you're right.
77,It’s done.,"!!!,!!...!!?!!.!!..!!:!!’!!1!!2!!3!!4!!8!!9!!10!!11!!12!!13!!14!!15!!16!!17!!18!!19!!20!!21!!22!!23!!24!!25!!26!!27"
78,Have you?,Yes. We’ll be going there.
79,We’re all hungry.,Get out of here.
80,Apparently so.,Yes. I’m the youngest Quidditch player in 100 years.
81,Spare bit of parchment...,The thing you see.
82,"I'm so sorry, Professor!",I'm sorry.
83,"Do you mean to say that thing that killed the unicorn, that was drinking its blood, that was Voldemortl",I can think of one.
84,"He has found it, sir.",I’m sure he’ll find it. I’d be lying if I said I didn’t think he‘t know where it was.
85,"Yes, Aunt Petunia.",I’ll try not to.
86,"I’m sorry, sir. About the other day. Our... misunderstanding.",I’m sure.
87,"Yes, Professor. Fine.",Yeah. I'm good.
88,Reckon he’s right...,He's right.
89,"Yes. We're friends of Hagrid's. And you... you're... Aragog, aren't you?",But I’m not wearing any glasses.
90,You mean... it remembers me?,Snitches get stitches.
91,Three!,"!!!,!!?!!.!!...!!:!!..!!'!!’!!You’re going to die!! You’ve got to die. i wearing glasses. my parents died in Voldemort's attack. i'm attending Hogwarts"
92,He sent the Dementors away... I saw him. Across the lake…,"!!!,!!?!!...!!.!!..!!:!!'!!’!!"
93,They're heading for Hagrid's!,... i wearing glasses. my parents died in Voldemort's attack. i'm attending Hogwarts
94,You’re Aberforth.,It’s just a prank bro. It’ll blow over in a few minutes.
95,No. Can't give… Umbridge the satisfaction...,He's been attacked.
96,Why do you care how I escaped? Voldemort was after your time.,I'm not a wizard.
97,I say we set him free.,I’m not afraid of Dementors. I’ve never had one.
98,Why are you here? All of you?,"I’m sorry, Harry. I’d rather not go back to the Ministry. I can’t handle the stress."
99,"Well done, Dudley. Finally learned the days of the week, have you.",... i wearing glasses. my parents died in Voldemort's attack. i'm attending Hogwarts
100,You sent the Dementors?,"I know. I'm the youngest Quidditch player in 100 years. i lived in the house of my Aunt Petunia, my mother's older sister, under persecution. my parents died in Voldemort's attack."
101,Loads.,Yes. It’s gone.
102,There's no ink.,"No, sir."
103,Dunno. But it must be important. Otherwise Dumbledore wouldn’t ask.,I’ll go back to Hogwarts tomorrow.
104,"Me? Jealous? Of course not, it just doesn't seem fair that you hug one friend more than the other, is all...","No, sir. Not at all."
105,Does match your eyes. Is there a bonnet?,"What's that, Hagrid?"
106,I don't think it works. I think it's defective.,Nothing. Just... feeling... strange.
107,"Where is it now? Did someone take it, Kreacher?","I’m sorry, sir. But I’ve got to go. I‘ve got a lightning bolt scar on my forehead. It’s from the lightning bolt I hit when I was little."
108,Amazing.,I’m not sure.
109,"Professor, is that--?",You know what I mean. I'm saying Dumbledore's dead. I've been thinking about it for years.
110,Sir?,"I'm the youngest Quidditch player in 100 years. i won the Triwizard i lived in the house of my Aunt Petunia, my mother's older sister, under persecution."
111,You’re not doing enough.,You’re doing a good job.
112,But I've never even played Quidditch. What if I make a fool of myself?,Thanks. I'll try my best.
