,GT,pred_base,pred_persona_conc,pred_persona_conc_test_concX,pred_persona_conc_notoken,pred_persona_conc_notoken_3
0,What terrible things? Who's plotting them?,I'm not going back.,I know. I'm not afraid of it.,What's that supposed to mean?,You mean... I can't just go back to Hogwarts and be safe?,I don’t think so.
1,Really.,I'm Ron.,"Yes, very much so.",Yeah.,Yeah.,Yeah.
2,Ravenclaw Common Room. Got to start somewhere.,I think I'll go to the library.,To the castle.,To the castle.,I don't know.,I don't know.
3,Brilliant.,Who made it?,Yeah.,It’ll be fine. We’re not dangerous. We just have to get used to it. [SEP] i wearing glasses.,Yes.,Yeah.
4,N-nothing. I'm fine.,It's not a dream. It's a nightmare.,It’s a broom.,A cup.,It’s... a stag.,It's a bird.
5,Yes. Why?,"Yes, sir.",Positive.,Yes. [SEP] i wearing glasses.,Yes.,Positive. I'm the youngest Quidditch player in 100 years.
6,How’d you...?,"Hello, Hermione.",Hello.,"Hello, Ron.",Hi.,"Hello, sir."
7,NO!!!,I'll take a drink!,"Sir, I'm not wearing glasses!",What's going on?,Hey!,"!!!,!!?!!.!!...!!..!!:!!’!!'!!You’ve been found!! You have been found in the Chamber of Secrets!! i won the Triwizard i am the hero who defeated Voldemort. I'm the youngest Quidditch player in 100 years."
8,"You never did, did you? It was all just a trick.",But I don't know what you're talking about.,"I mean, I have him. He's just... gone.",Then we can't help you. [SEP] i can speak parseltongue,I don't think we do.,I’m sorry.
9,"Professor, why am I so important to him?",I don't know what you mean.,What's that got to do with me?,"You've got to understand, Harry, that if I can destroy you, I can also destroy the weapon you have been trying to destroy me with. [SEP] i can speak parseltongue",You can destroy me. You can destroy your own life.,"I'm sorry, sir. I'm afraid I don't understand."
10,Not that I know of.,No.,"Sir, I'm the Minister of Magic.",... I’m sorry. I‘m not allowed to talk about those. I think they’re-- [SEP] i won the Triwizard,"No, Ministerial Dictatorship.",’No. I’m not that kind of Minister.
11,Oh. Thanks.,But... why?,Hermione?,And that there's no reason why they shouldn't be.,"Thanks, Hermione.",But I'm not wearing glasses.
12,Yes.,No.,Yes.,"No, I'm not. [SEP] i wearing glasses.",Yes.,"No, sir. I'm... I'm the youngest Quidditch player in 100 years."
13,You're a fraud! You've just been taking credit for what a load of other wizards have done!,"I mean, I can't think of anything that would make me think I'm a good person.",I don't think it's possible to be both Sirius and Gryffindor at the same time.,You've got to be kidding. I've been thinking about them for days.,I'm not a book thief!,I don't know. I've never been much of a book reader.
14,Shhh!,I don’t know.,What?,... I think we should go back to the castle. [SEP] i won the Triwizard,I don't know...,"!!!,!!?!!.!!...!!..!!:!!’!!'!!You!!you!! you!!-!!…!!I!!
!!"
15,"Why, though?",But I thought we'd be safe.,I know. I'm just... I'm here for a reason.,I know. I just wanted to see what everyone's up to. [SEP] i won the Triwizard,You're going to have to let me go.,But I want to be there.
16,"Blimey, Hermione!",I don't think you can!,Hermione!,"I’m not your friend, Potter! [SEP] i wearing glasses.",Hermione!,... and then what?
17,"Who, Kreacher? Who was it?",What happened to him?,What was it?,What happened in the lockets?,And what were they?,What was he doing?
18,Krum.,Sirius.,His name is... Albert Einstein.,... Albert Einstein. [SEP] i wearing glasses.,His name is Luna.,"’’s Neville Longbottom. I'm the youngest Quidditch player in 100 years. i won the Triwizard i lived in the house of my Aunt Petunia, my mother's older sister, under persecution."
19,The Misuse of Muggle Artefacts...?,What's he doing there?,So he was right.,"Really? Well, that's good. Well, at least he'll be able to help me. [SEP] i won the Triwizard","Oh, right.",But I'm the youngest Quidditch player in 100 years.
20,No. He didn't.,I don't know.,Ron?,"I don't know. But I think I heard it from him. And I think he heard it too. And he thinks he saw it too, too. [SEP] i wearing glasses.",Ron?,I’m Ron. I’ve been in love with Hermione for months.
21,We got lost.,It’s not a matter of time. I’m not going to bother with you.,I think it's time to go.,I think it would be best if you simply made it a simple charm.,I don't think so.,I don't know. I've been thinking about it for a while.
